# This data file has been automatically generated using the network simulator TopGen

	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
0	0	23.40488	26.41861	15.63232	20.81964	16.61067	14.73743	18.51248	20.50423	18.11111	17.86362	19.79597	25.10062	19.79597	13.70548	15.35648	24.05801	17.43582	16.81269	16.98539	23.69469	15.54199	24.32085	16.10286	13.92986	16.65187	21.31819	13.4746	15.61803	19.26617	18.15874	17.18906	18.22762	17.28545	6.534886	26.30231	16.4381	19.80376	13.90656	18.60775	5.431797	19.20523	16.1262	14.73743	18.32296	18.79349	18.65542	17.16218	20.52452	17.18318	5.431797	18.22809	18.09349	15.81532	23.8172	21.73034	4.619111	16.20682	16.54835	24.0517	21.58936	16.27707	23.8172	15.71246	19.14151	12.67027	3.947225	24.05801	21.32247	17.54655	18.139	10.69261	5.26156	20.83394	19.78453	5.302306	7.557959	18.03139	23.45388	16.96146	16.99993	18.98614	22.49952	15.95469	19.79597	17.40722	20.83394	19.55899	25.43127	20.58931	16.61924	15.67382	15.38447	16.14488	17.38649	23.26873	20.52452	16.3756	17.29767	18.74563
1	23.40488	0	25.85427	23.38794	24.13181	17.98915	14.04871	22.1401	17.62393	21.42327	21.17579	23.54359	22.93277	19.61471	17.38519	15.15941	11.13338	18.77074	28.72402	20.29756	5.997655	10.81617	22.54154	14.48455	23.64869	18.1761	17.00977	25.51113	23.37365	21.88329	21.4709	22.82259	21.53979	21.9601	19.06975	29.18174	21.67646	23.0668	11.68114	25.47002	21.83347	20.53032	19.43836	14.04871	19.297	22.10565	25.47596	20.47435	23.83669	19.92387	18.63797	20.52999	24.27987	19.12749	11.02366	12.64844	20.15794	12.64844	28.45968	21.88385	24.90153	10.76603	10.83025	16.73314	12.64844	19.05649	20.80404	12.28512	24.63464	20.93608	26.52966	26.06279	19.80939	10.08108	23.0967	19.69316	21.70013	20.85984	12.40764	18.00756	24.75554	26.74176	22.81656	27.86602	25.97819	11.00022	10.08108	21.56371	23.95078	14.43656	19.24975	23.42943	25.92482	19.92865	20.69865	12.28512	23.83669	19.68776	23.319	21.88385
2	26.41861	25.85427	0	17.01592	23.74595	22.84251	25.16162	19.21764	24.8774	21.03742	20.78993	21.40653	26.78201	21.64787	24.12966	18.28279	26.2279	27.86	29.16708	17.05551	23.63906	25.96618	26.01165	19.02917	27.45518	20.41768	22.83168	25.95419	18.97004	22.19248	21.08504	21.50363	21.15393	27.70964	19.14949	10.23195	17.3264	14.97453	28.95923	19.10378	21.9132	22.13154	19.05251	25.16162	20.23167	15.34874	20.35242	20.08849	23.45083	17.00141	22.44445	24.45993	20.2062	18.74163	25.65189	29.92653	20.60099	23.63906	28.90273	24.42203	24.51567	26.70125	25.65189	21.14468	25.24257	20.68303	20.88378	26.2279	24.24878	27.97073	20.38788	26.14253	20.25245	27.06579	22.71084	20.13622	22.14318	20.9577	30.04905	19.88777	21.12424	15.89178	18.41646	28.30907	23.41589	29.92653	27.06579	22.48531	6.347721	26.28312	19.54555	26.48362	26.00456	13.64947	20.31279	28.43888	23.45083	19.30191	19.20639	24.97748
3	15.63232	23.38794	17.01592	0	18.51615	4.540559	16.09457	11.82014	18.0666	15.98619	15.73871	9.270993	16.90511	9.270993	15.06262	12.72011	25.41515	18.79296	22.68887	16.78244	25.05183	16.89913	25.67799	10.62867	25.90446	5.885029	22.67533	21.07948	7.114206	14.49949	16.48468	10.49672	16.10271	18.64259	12.91893	18.86923	9.745763	15.1447	15.2637	8.082766	17.16928	17.31697	11.89737	16.09457	19.22719	15.51891	11.96308	15.25259	18.3996	10.49084	20.16701	11.53575	11.40116	15.97203	25.17434	25.05183	15.72629	17.56396	24.02803	14.98759	18.55367	17.6342	25.17434	12.87726	25.41515	9.835073	12.91893	25.41515	18.55367	18.90368	11.44666	19.66432	15.37774	22.19108	17.07072	15.26151	17.26848	15.09574	24.81102	10.43109	7.428208	3.202702	18.58663	23.43437	9.270993	18.76436	22.19108	16.96048	17.9982	21.94645	16.8554	10.0919	22.86414	13.30968	16.90756	22.9567	16.98828	15.35512	13.19093	12.0533
4	20.81964	24.13181	23.74595	18.51615	0	17.34411	22.67844	22.07241	22.03996	8.652449	12.12471	16.31408	23.12073	21.96465	23.93104	9.617565	22.2002	23.78934	22.75548	11.24647	24.82863	21.31556	23.17422	10.36394	18.78995	18.39666	22.82912	23.01117	16.35148	13.52725	12.41982	16.69554	12.4887	23.88975	12.98554	22.71008	14.44695	12.89203	24.15114	18.80295	15.50161	13.46631	10.38728	22.67844	16.08679	13.05457	22.10477	11.54482	11.06586	20.67106	13.77922	18.96154	19.70996	10.0764	18.59016	19.6873	15.92368	23.33823	29.9341	21.88066	11.86381	20.81524	18.59016	12.47945	24.12562	12.0178	12.98554	19.6873	11.86381	22.44709	21.75427	23.19951	13.84085	22.25769	10.32587	16.09202	22.54389	8.22926	22.67844	11.22254	17.73338	19.71959	15.3643	29.22626	22.10477	25.48176	22.25769	13.82008	21.83905	21.43301	7.160577	21.87817	21.32725	12.18494	7.927825	21.41981	11.06586	10.63668	12.46336	19.47908
5	16.61067	17.98915	22.84251	4.540559	17.34411	0	16.78455	10.84955	17.37838	18.36201	18.11452	8.825651	14.5249	7.624077	16.97517	11.12722	19.14213	18.71832	24.60142	17.23629	25.34472	18.81169	18.51264	12.54123	24.48371	6.185467	15.33267	21.66219	10.59497	16.16496	19.64846	10.88191	18.47852	19.22818	16.46099	22.38064	7.855879	15.94776	17.17626	9.496138	19.08184	19.22953	13.80993	16.78455	18.20639	16.32197	14.30115	14.66246	20.77542	8.600959	19.47298	12.12212	10.73569	15.55598	19.03241	25.99785	16.30899	19.47651	24.61073	13.47598	20.46623	19.54676	18.83899	14.78982	25.99785	11.74763	14.83149	25.99785	20.46623	17.78551	12.89123	21.57688	15.96044	24.10364	19.25927	15.84421	17.85118	17.0083	16.78455	13.26239	10.18204	6.61912	19.3897	24.01707	10.88191	20.67692	24.10364	15.93968	21.50961	16.77143	16.87014	14.10886	23.31606	14.6227	17.63739	25.99785	18.90084	16.42528	15.10349	13.47598
6	14.73743	14.04871	25.16162	16.09457	22.67844	16.78455	0	17.84146	9.304574	19.75471	19.50722	19.12496	19.6607	16.34264	12.20946	17.00008	14.12648	16.21473	20.66071	18.62899	14.12648	9.300747	16.00905	17.74645	21.98013	14.90403	7.258863	19.18211	14.94701	20.90977	19.80233	16.51804	19.87122	16.72459	17.16038	24.0694	15.76708	17.63652	9.771764	17.93673	15.14113	20.84883	17.76979	4.088279	19.89515	20.43708	17.9844	18.80578	22.16812	16.51216	16.9694	17.25792	17.42248	17.45892	10.49826	10.73907	15.63294	9.965573	23.86494	18.61177	23.23296	10.03582	14.70185	15.04144	10.73907	11.99926	10.89077	14.12648	22.96607	15.28193	17.46798	17.63616	17.03102	15.02824	21.42813	19.2822	15.45205	19.67499	4.088279	18.60505	16.32891	18.31512	21.07845	23.27129	19.12496	11.16598	15.02824	17.62843	23.19837	8.697622	18.26283	15.0028	24.01545	16.31146	19.03008	14.94265	22.16812	18.01919	17.42549	18.61177
7	18.51248	22.1401	19.21764	11.82014	22.07241	10.84955	17.84146	0	22.55227	20.26439	20.0169	10.78611	20.31823	11.90428	16.69291	13.09409	22.29927	20.42325	24.31915	19.13867	19.71043	18.52942	27.30828	12.25896	23.98259	11.58982	24.43508	22.70977	10.55598	16.12977	20.31202	8.537518	20.3809	20.27288	15.22085	19.9893	6.699706	16.26476	16.89399	12.64001	17.98457	18.94726	13.52766	17.72486	16.30304	16.63897	10.78611	19.31546	22.6778	7.444785	21.7973	13.16604	8.391297	17.9686	26.12041	25.9979	17.35658	19.19424	25.65831	19.66931	20.18396	19.26449	26.12041	14.50755	21.31394	11.46536	16.95514	22.29927	20.18396	20.53397	11.41841	21.29461	17.00803	23.13715	21.93781	16.8918	18.89877	16.72603	25.75709	12.06138	11.93788	13.92409	19.7067	25.06466	8.537518	20.39465	23.13715	18.56976	17.09969	18.84195	18.77252	10.61177	22.07592	14.9397	17.87926	25.9979	18.61857	18.52888	14.82122	13.68358
8	20.50423	17.62393	24.8774	18.0666	22.03996	17.37838	9.304574	22.55227	0	21.07503	20.82754	25.01692	20.98102	17.66296	13.52978	18.3204	19.24437	17.53505	27.26598	19.94931	18.59123	17.37914	17.32938	19.06678	23.30045	16.22435	8.579186	24.67127	20.63385	22.23009	21.12266	25.39838	21.19154	18.04492	17.49604	25.38972	23.14979	18.95684	12.72464	21.678	20.0121	22.16915	19.09012	10.03107	21.21547	21.75741	24.34003	20.1261	23.48844	18.63984	18.28972	18.57824	20.77457	18.77924	19.00356	12.2841	20.43418	19.24437	27.61981	19.9321	24.55329	16.48812	19.00356	21.18229	19.24437	20.72064	17.49604	19.24437	24.28639	16.60225	22.93011	24.51952	18.35135	19.32995	22.74845	20.60252	20.86026	20.99531	10.03107	19.92538	20.22092	18.82189	22.39878	27.02615	20.92079	13.93852	19.32995	18.94875	24.51869	10.01795	19.58316	24.14775	25.83775	17.63178	20.3504	19.24437	23.48844	19.33952	19.56212	19.9321
9	18.11111	21.42327	21.03742	15.98619	8.652449	18.36201	19.75471	20.26439	21.07503	0	11.46867	15.65805	22.46469	21.30861	23.27501	8.961532	21.54416	23.13331	22.09944	7.375926	24.17259	20.65952	22.51818	9.707907	18.13392	17.74063	22.17309	22.35513	18.87505	12.87122	11.76378	16.03951	11.83267	23.23372	12.32951	22.05405	13.79092	15.08349	23.4951	18.14692	14.84557	12.81028	3.645995	22.02241	15.43076	12.39854	21.44874	10.76723	14.12957	20.01503	13.12319	19.87077	19.05393	9.42037	17.93413	19.03126	15.26765	22.6822	29.27806	21.22462	15.19441	20.1592	17.93413	11.82342	23.46958	11.36177	12.32951	19.03126	14.92752	21.79106	21.09824	22.54348	13.18481	21.60166	10.02043	15.43599	21.88785	7.923821	22.02241	10.56651	21.99633	20.65456	12.2279	28.57023	21.44874	24.82573	21.60166	13.16404	21.18302	20.77697	6.855138	21.22214	20.67122	9.048544	6.238493	20.76377	14.12957	9.980643	12.15792	21.22462
